更新时间,#genre#
湖北卫视,http://111.193.239.94:8888/rtp/239.3.1.138:8044$北京市联通
江西卫视,http://171.83.96.76:8004/rtp/239.69.1.126:10394$湖北电信
江西卫视,http://111.193.239.94:8888/rtp/239.3.1.123:8164$北京市联通
四川卫视,http://171.83.96.76:8004/rtp/239.69.1.169:10650$湖北电信
四川卫视,http://111.193.239.94:8888/rtp/239.3.1.131:3001$北京市联通
重庆卫视,http://171.83.96.76:8004/rtp/239.69.1.149:10530$湖北电信
重庆卫视,http://111.193.239.94:8888/rtp/239.3.1.122:8160$北京市联通
贵州卫视,http://171.83.96.76:8004/rtp/239.69.1.150:10536$湖北电信
贵州卫视,http://111.193.239.94:8888/rtp/239.3.1.149:8076$北京市联通
天津卫视,http://171.83.96.76:8004/rtp/239.69.1.68:10048$湖北电信
天津卫视,http://111.193.239.94:8888/rtp/239.3.1.141:1234$北京市联通
安徽卫视,http://171.83.96.76:8004/rtp/239.69.1.70:10060$湖北电信
安徽卫视,http://111.193.239.94:8888/rtp/239.3.1.211:8064$北京市联通
山东卫视,http://171.83.96.76:8004/rtp/239.69.1.69:10054$湖北电信
山东卫视,http://111.193.239.94:8888/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://111.193.239.94:8888/rtp/239.3.1.144:3005$北京市联通
辽宁卫视,http://171.83.96.76:8004/rtp/239.69.1.71:10066$湖北电信
辽宁卫视,http://111.193.239.94:8888/rtp/239.3.1.210:8056$北京市联通
黑龙江卫视,http://171.83.96.76:8004/rtp/239.254.96.138:8902$湖北电信
黑龙江卫视,http://111.193.239.94:8888/rtp/239.3.1.133:8016$北京市联通
吉林卫视,http://171.83.96.76:8004/rtp/239.69.1.212:10914$湖北电信
吉林卫视,http://111.193.239.94:8888/rtp/239.3.1.240:8172$北京市联通
西藏卫视,http://111.193.239.94:8888/rtp/239.3.1.166:8188$北京市联通
山东教育卫视,http://111.193.239.94:8888/rtp/239.3.1.52:4120$北京市联通
中国教育1台,http://171.83.96.76:8004/rtp/239.69.1.110:10298$湖北电信
中国教育1台,http://111.193.239.94:8888/rtp/239.3.1.57:8152$北京市联通
中国教育2台,http://111.193.239.94:8888/rtp/239.3.1.54:4120$北京市联通
中国教育4台,http://111.193.239.94:8888/rtp/239.3.1.56:4120$北京市联通

数字频道,#genre#
CHC动作电影,http://171.83.96.76:8004/rtp/239.69.1.242:11094$湖北电信
CHC家庭影院,http://171.83.96.76:8004/rtp/239.69.1.243:11100$湖北电信
CHC影迷电影,http://171.83.96.76:8004/rtp/239.69.1.241:11088$湖北电信
淘电影,http://111.193.239.94:8888/rtp/239.3.1.250:8001$北京市联通
淘剧场,http://111.193.239.94:8888/rtp/239.3.1.95:8001$北京市联通
淘娱乐,http://111.193.239.94:8888/rtp/239.3.1.100:8001$北京市联通
金鹰纪实,http://171.83.96.76:8004/rtp/239.69.1.109:10292$湖北电信
金鹰纪实,http://111.193.239.94:8888/rtp/239.3.1.58:8156$北京市联通
