更新时间: 2025-12-21 11:56:23（北京时间）

更新时间,#genre#
2025-12-21 11:56:23,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://183.30.202.100:8000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://223.244.185.227:7000/rtp/238.1.78.166:7200$安徽电信
CCTV1,http://183.30.202.129:8000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://116.28.124.205:5000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://113.25.107.189:10000/rtp/239.1.1.7:8007$山西电信
CCTV1,http://122.231.77.212:4022/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://106.59.3.109:55555/rtp/239.200.200.2:8080$云南电信
CCTV1,http://121.56.186.21:4022/rtp/239.29.0.113:5000$内蒙古电信
CCTV1,http://180.112.226.61:8333/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://115.224.66.130:8000/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://61.159.134.134:18000/rtp/238.255.2.91:5999$贵州电信
CCTV1,http://106.59.2.119:55555/rtp/239.200.200.2:8080$云南电信
CCTV1,http://180.120.57.144:55555/rtp/239.49.8.19:9614$江苏电信
CCTV2,http://183.30.202.100:8000/rtp/239.77.0.137:5146$广东电信
CCTV2,http://223.244.185.227:7000/rtp/238.1.78.235:7752$安徽电信
CCTV2,http://183.30.202.129:8000/rtp/239.77.0.137:5146$广东电信
CCTV2,http://116.28.124.205:5000/rtp/239.77.0.137:5146$广东电信
CCTV2,http://113.25.107.189:10000/rtp/239.1.1.8:8008$山西电信
CCTV2,http://122.231.77.212:4022/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://106.59.3.109:55555/rtp/239.200.200.1:8004$云南电信
CCTV2,http://121.56.186.21:4022/rtp/239.29.0.116:5000$内蒙古电信
CCTV2,http://180.112.226.61:8333/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://115.224.66.130:8000/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://61.159.134.134:18000/rtp/238.255.2.11:5999$贵州电信
CCTV2,http://106.59.2.119:55555/rtp/239.200.200.1:8004$云南电信
CCTV2,http://180.120.57.144:55555/rtp/239.49.8.50:9802$江苏电信
CCTV3,http://183.30.202.100:8000/rtp/239.77.0.169:5146$广东电信
CCTV3,http://183.30.202.100:8000/rtp/239.77.1.7:5146$广东电信
CCTV3,http://223.244.185.227:7000/rtp/238.1.78.170:7232$安徽电信
CCTV3,http://183.30.202.129:8000/rtp/239.77.0.169:5146$广东电信
CCTV3,http://183.30.202.129:8000/rtp/239.77.1.7:5146$广东电信
CCTV3,http://116.28.124.205:5000/rtp/239.77.0.169:5146$广东电信
CCTV3,http://116.28.124.205:5000/rtp/239.77.1.7:5146$广东电信
CCTV3,http://113.25.107.189:10000/rtp/239.1.1.9:8009$山西电信
CCTV3,http://122.231.77.212:4022/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://106.59.3.109:55555/rtp/239.200.200.71:8012$云南电信
CCTV3,http://121.56.186.21:4022/rtp/239.29.1.133:5000$内蒙古电信
CCTV3,http://180.112.226.61:8333/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://115.224.66.130:8000/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://61.159.134.134:18000/rtp/238.255.2.133:5999$贵州电信
CCTV3,http://106.59.2.119:55555/rtp/239.200.200.71:8012$云南电信
CCTV3,http://180.120.57.144:55555/rtp/239.49.8.74:8000$江苏电信
CCTV4,http://183.30.202.100:8000/rtp/239.77.0.78:5146$广东电信
CCTV4,http://183.30.202.100:8000/rtp/239.77.1.163:5146$广东电信
CCTV4,http://183.30.202.100:8000/rtp/239.77.1.166:5146$广东电信
CCTV4,http://223.244.185.227:7000/rtp/238.1.78.236:7760$安徽电信
CCTV4,http://183.30.202.129:8000/rtp/239.77.0.78:5146$广东电信
CCTV4,http://183.30.202.129:8000/rtp/239.77.1.163:5146$广东电信
CCTV4,http://183.30.202.129:8000/rtp/239.77.1.166:5146$广东电信
CCTV4,http://116.28.124.205:5000/rtp/239.77.0.78:5146$广东电信
CCTV4,http://116.28.124.205:5000/rtp/239.77.1.163:5146$广东电信
CCTV4,http://116.28.124.205:5000/rtp/239.77.1.166:5146$广东电信
CCTV4,http://113.25.107.189:10000/rtp/239.1.1.10:8010$山西电信
CCTV4,http://122.231.77.212:4022/rtp/233.50.200.101:5140$浙江电信
CCTV4,http://106.59.3.109:55555/rtp/239.200.200.19:8216$云南电信
CCTV4,http://121.56.186.21:4022/rtp/239.29.0.87:5000$内蒙古电信
CCTV4,http://180.112.226.61:8333/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://115.224.66.130:8000/rtp/233.50.200.101:5140$浙江电信
CCTV4,http://61.159.134.134:18000/rtp/238.255.2.92:5999$贵州电信
CCTV4,http://106.59.2.119:55555/rtp/239.200.200.19:8216$云南电信
CCTV4,http://180.120.57.144:55555/rtp/239.49.8.51:9806$江苏电信
CCTV4欧洲,http://183.30.202.100:8000/rtp/239.253.43.120:5146$广东电信
CCTV4欧洲,http://183.30.202.129:8000/rtp/239.253.43.120:5146$广东电信
CCTV4欧洲,http://116.28.124.205:5000/rtp/239.253.43.120:5146$广东电信
CCTV4欧洲,http://106.59.3.109:55555/rtp/239.200.201.180:4220$云南电信
CCTV4欧洲,http://121.56.186.21:4022/rtp/239.29.1.144:5000$内蒙古电信
CCTV4欧洲,http://61.159.134.134:18000/rtp/238.255.2.213:5999$贵州电信
CCTV4欧洲,http://106.59.2.119:55555/rtp/239.200.201.180:4220$云南电信
CCTV4美洲,http://183.30.202.100:8000/rtp/239.253.43.121:5146$广东电信
CCTV4美洲,http://183.30.202.129:8000/rtp/239.253.43.121:5146$广东电信
CCTV4美洲,http://116.28.124.205:5000/rtp/239.253.43.121:5146$广东电信
CCTV4美洲,http://106.59.3.109:55555/rtp/239.200.201.181:4220$云南电信
CCTV4美洲,http://121.56.186.21:4022/rtp/239.29.1.142:5000$内蒙古电信
CCTV4美洲,http://61.159.134.134:18000/rtp/238.255.2.214:5999$贵州电信
CCTV4美洲,http://106.59.2.119:55555/rtp/239.200.201.181:4220$云南电信
CCTV5,http://183.30.202.100:8000/rtp/239.77.0.170:5146$广东电信
CCTV5,http://183.30.202.100:8000/rtp/239.77.1.8:5146$广东电信
CCTV5,http://223.244.185.227:7000/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://183.30.202.129:8000/rtp/239.77.0.170:5146$广东电信
CCTV5,http://183.30.202.129:8000/rtp/239.77.1.8:5146$广东电信
CCTV5,http://116.28.124.205:5000/rtp/239.77.0.170:5146$广东电信
CCTV5,http://116.28.124.205:5000/rtp/239.77.1.8:5146$广东电信
CCTV5,http://113.25.107.189:10000/rtp/239.1.1.11:8011$山西电信
